iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
2003 2 19 30 -999 -999 -999 -999 -999 4.968 53.508 19.661 100.054 0.0 96.592 -999 328.113 -999 -999 -999 -999 -999 -999 -999
2003 2 20 0 -999 -999 -999 -999 -999 5.007 63.035 17.961 100.079 0.0 22.258 -999 330.785 -999 -999 -999 -999 -999 -999 -999
2003 2 20 30 -999 -999 -999 -999 -999 4.956 65.67 17.764 100.112 0.0 11.129 -999 322.339 -999 -999 -999 -999 -999 -999 -999
2003 2 21 0 -999 -999 -999 -999 -999 4.906 68.365 17.568 100.146 0.0 0.0 -999 313.893 -999 -999 -999 -999 -999 -999 -999
2003 2 21 30 -999 -999 -999 -999 -999 4.575 75.882 16.25 100.18 0.0 0.0 -999 313.225 -999 -999 -999 -999 -999 -999 -999
2003 2 22 0 -999 -999 -999 -999 -999 4.244 84.26 14.932 100.214 0.0 0.0 -999 312.557 -999 -999 -999 -999 -999 -999 -999
2003 2 22 30 -999 -999 -999 -999 -999 3.631 85.711 14.798 100.228 0.0 0.0 -999 313.258 -999 -999 -999 -999 -999 -999 -999
2003 2 23 0 -999 -999 -999 -999 -999 3.018 87.182 14.665 100.241 0.0 0.0 -999 313.959 -999 -999 -999 -999 -999 -999 -999
2003 2 23 30 -999 -999 -999 -999 -999 2.666 88.286 14.438 100.247 0.0 0.0 -999 314.087 -999 -999 -999 -999 -999 -999 -999
2003 3 0 0 -999 -999 -999 -999 -999 2.315 89.405 14.211 100.252 0.0 0.0 -999 314.215 -999 -999 -999 -999 -999 -999 -999
2003 3 0 30 -999 -999 -999 -999 -999 2.261 89.181 14.011 100.224 0.0 0.0 -999 312.521 -999 -999 -999 -999 -999 -999 -999
2003 3 1 0 -999 -999 -999 -999 -999 2.207 88.938 13.812 100.196 0.0 0.0 -999 310.826 -999 -999 -999 -999 -999 -999 -999
2003 3 1 30 -999 -999 -999 -999 -999 1.858 87.297 14.179 100.175 0.0 0.0 -999 310.612 -999 -999 -999 -999 -999 -999 -999
2003 3 2 0 -999 -999 -999 -999 -999 1.51 85.689 14.547 100.154 0.0 0.0 -999 310.399 -999 -999 -999 -999 -999 -999 -999
2003 3 2 30 -999 -999 -999 -999 -999 1.036 86.904 14.387 100.141 0.0 0.0 -999 309.912 -999 -999 -999 -999 -999 -999 -999
2003 3 3 0 -999 -999 -999 -999 -999 0.562 88.136 14.227 100.127 0.0 0.0 -999 309.425 -999 -999 -999 -999 -999 -999 -999
2003 3 3 30 -999 -999 -999 -999 -999 0.523 92.083 13.382 100.148 0.0 0.0 -999 309.668 -999 -999 -999 -999 -999 -999 -999
2003 3 4 0 -999 -999 -999 -999 -999 0.484 96.223 12.536 100.169 0.0 0.0 -999 309.912 -999 -999 -999 -999 -999 -999 -999
2003 3 4 30 -999 -999 -999 -999 -999 1.161 97.321 12.184 100.176 0.0 0.0 -999 308.675 -999 -999 -999 -999 -999 -999 -999
2003 3 5 0 -999 -999 -999 -999 -999 1.838 98.422 11.832 100.183 0.0 0.0 -999 307.437 -999 -999 -999 -999 -999 -999 -999
2003 3 5 30 -999 -999 -999 -999 -999 2.089 96.866 12.462 100.221 0.0 21.635 -999 306.233 -999 -999 -999 -999 -999 -999 -999
2003 3 6 0 -999 -999 -999 -999 -999 2.341 95.291 13.092 100.258 0.0 43.27 -999 305.029 -999 -999 -999 -999 -999 -999 -999
2003 3 6 30 -999 -999 -999 -999 -999 2.887 93.79 12.848 100.267 0.0 115.114 -999 310.01 -999 -999 -999 -999 -999 -999 -999
2003 3 7 0 -999 -999 -999 -999 -999 3.434 92.219 12.605 100.276 0.001 186.957 -999 314.992 -999 -999 -999 -999 -999 -999 -999
2003 3 7 30 -999 -999 -999 -999 -999 3.725 83.023 14.539 100.285 0.001 278.35 -999 320.483 -999 -999 -999 -999 -999 -999 -999
2003 3 8 0 -999 -999 -999 -999 -999 4.016 74.829 16.474 100.294 0.002 369.743 -999 325.974 -999 -999 -999 -999 -999 -999 -999
